Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
4/11/2021,432820,16807,692,2004454,5777289,7781743
5/11/2021,433732,16840,692,2004454,5777289,7781743
6/11/2021,434718,16872,692,1997599,5795401,7793000
7/11/2021,435727,16903,692,1982627,5825213,7807840
8/11/2021,437043,16938,692,1973971,5836826,7810797
9/11/2021,438319,16976,692,1961003,5853933,7814936
10/11/2021,439733,17019,692,2063626,5853933,7917559
11/11/2021,440918,17057,0,1953425,5894955,13743335
12/11/2021,442306,17099,0,1953425,5894955,13743335
13/11/2021,443546,17137,0,1928340,5932203,13792746
14/11/2021,444531,17159,0,1918702,5946101,13810904
15/11/2021,445696,17204,0,1918702,5946101,13810904
16/11/2021,446879,17239,0,1922629,5969572,13861773
17/11/2021,448216,17265,0,1910958,5980854,13872666
18/11/2021,449825,17307,0,1910958,5980854,13872666
19/11/2021,451164,17362,0,1881998,6013801,13909600
20/11/2021,452210,17404,0,1868261,6033488,13935237
21/11/2021,453475,17404,0,1859495,6044189,13947873
22/11/2021,455022,17513,0,1859495,6044189,13947873
23/11/2021,456226,17575,0,1850426,6053986,13958398
24/11/2021,457892,17637,0,1739796,6167363,14074522
25/11/2021,459474,17687,0,1622513,6287858,14198229
26/11/2021,461283,17738,0,1517464,6401698,14320860
27/11/2021,463056,17795,0,1380816,6547118,14475052
28/11/2021,464510,17857,0,1380816,6547118,14475052
29/11/2021,469570,17908,0,1368234,6634059,14636352
30/11/2021,471069,17967,0,1323995,6678298,14680591
1/12/2021,472745,18028,0,1296859,6708819,14714497
2/12/2021,474483,18099,0,1296859,6708819,14714497
3/12/2021,475795,18160,0,1260777,6752631,14766039
4/12/2021,477431,18224,0,1236713,6782865,14802443
5/12/2021,478923,18289,0,1230753,6790046,14810845
6/12/2021,480104,18375,0,1230753,6790046,14810845
7/12/2021,481070,18428,0,1226786,6795458,14817702
8/12/2021,482545,18494,0,1226786,6795458,14817702
9/12/2021,483998,18558,0,1206767,6821987,14850741
10/12/2021,485232,18619,0,1203532,6826335,14856202
11/12/2021,486673,18679,0,1203532,6826335,14856202
12/12/2021,487890,18748,0,1193415,6840967,14875349
13/12/2021,488807,18813,0,1193415,6840967,14875349
14/12/2021,489798,18872,0,1190948,6843783,14878514
15/12/2021,491069,18935,0,1183669,6854632,14892933
16/12/2021,492244,18993,0,1178813,6861558,14901929
17/12/2021,493285,19042,0,1173292,6869639,14912570
18/12/2021,494304,19042,0,1173292,6869639,14912570
19/12/2021,495318,19094,0,1169185,6876899,14922983
20/12/2021,496005,19144,0,1166405,6881361,14929127
21/12/2021,496818,19190,0,1165776,6882709,14931194
22/12/2021,497797,19229,0,1012847,7084769,15182385
23/12/2021,498587,19263,0,1012847,7084769,15182385
24/12/2021,499268,19298,0,1007332,7094790,15196912
25/12/2021,500153,19333,0,998799,7111994,15222787
26/12/2021,500697,19365,0,998799,7111994,15222787
27/12/2021,501258,19389,0,995713,7118291,15232295
28/12/2021,501930,19418,0,933222,7125264,15183750
29/12/2021,502632,19455,0,922241,7136245,15194731
30/12/2021,504024,19485,0,916249,7147477,15211203
31/12/2021,504583,19512,0,922540,7147477,15217494
1/1/2022,505154,19539,0,929666,7147477,15224620
2/1/2022,505529,19591,0,930157,7147477,15225111
3/1/2022,506191,19616,0,930394,7147477,15225348
4/1/2022,506865,19637,0,930394,7147477,15225348
5/1/2022,507316,19657,0,904654,7189470,15283594
6/1/2022,507759,19675,0,844366,7249758,15343882
7/1/2022,508255,19693,0,860091,7249758,15359607
8/1/2022,508706,19704,0,867411,7249758,15366927
9/1/2022,509178,19719,0,872313,7249758,15371829
10/1/2022,509616,19736,0,815798,7306273,15428344
11/1/2022,510174,19747,0,819869,7306273,15432415
12/1/2022,510871,19761,0,807986,7327366,15462718
13/01/2022,511574,19773,0,800766,7334586,15469938
14/01/2022,511981,19786,0,805756,7334586,15474928
15/01/2022,512368,19797,0,810110,7334586,15479282
16/01/2022,512664,19806,0,813493,7334586,15482665
17/01/2022,512896,19817,0,813493,7334586,15482665
18/01/2022,513141,19828,0,817468,7334586,15486640
19/01/2022,513407,19834,0,821963,7334586,15491135
20/01/2022,513657,19845,0,821963,7334586,15491135
21/01/2022,513905,19852,0,824445,7334586,15493617
22/01/2022,514135,19860,0,824445,7334586,15493617
23/01/2022,514280,19864,0,827876,7334586,15497048
24/01/2022,514398,19866,0,665447,7498055,19965372
25/01/2022,514510,19867,0,663726,7500038,19976808
26/01/2022,514652,19870,0,661068,7502873,20041462
27/01/2022,514836,19874,0,661234,7505050,20062455
28/01/2022,514989,19878,0,659816,7507009,20074199
29/01/2022,515173,19880,0,658485,7508878,20088920
30/01/2022,515339,19884,0,657997,7509745,20095732
31/01/2022,515510,19887,0,657678,7510283,20099681
