Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
27/11/2021,6341,105,0,246176,704067,1654310
28/11/2021,6407,105,0,246176,704067,1654310
29/11/2021,6449,105,0,242402,711027,1664456
30/11/2021,6524,105,0,241587,712475,1666537
1/12/2021,6623,105,0,241587,712475,1666537
2/12/2021,6705,105,0,204753,749325,1703403
3/12/2021,6824,105,0,169548,784439,1738426
4/12/2021,6928,105,0,119375,834612,1788599
5/12/2021,7006,105,0,93468,860519,1814506
6/12/2021,7006,105,0,93468,860519,1814506
7/12/2021,7272,106,0,89950,864037,1818024
8/12/2021,7441,106,0,89608,864379,1818366
9/12/2021,7621,106,0,88407,868583,1825573
10/12/2021,7819,106,0,88407,868583,1825573
11/12/2021,8005,106,0,88407,868583,1825573
12/12/2021,8447,106,0,64721,892276,1849273
13/12/2021,8652,106,0,64721,892276,1849273
14/12/2021,8829,106,0,51855,905142,1862139
15/12/2021,9065,106,0,50903,906122,1863147
16/12/2021,9277,106,0,50903,906122,1863147
17/12/2021,9471,106,0,50906,906343,1863592
18/12/2021,9664,106,0,50906,906343,1863592
19/12/2021,9807,106,0,38906,918343,1875592
20/12/2021,9949,107,0,38906,918343,1875592
21/12/2021,10118,107,0,30986,926263,1883512
22/12/2021,10289,107,0,30986,926263,1883512
23/12/2021,10484,108,0,30986,926263,1883512
24/12/2021,10624,108,0,30986,926263,1883512
25/12/2021,10835,108,0,30986,926263,1883512
26/12/2021,10953,108,0,30986,926263,1883512
27/12/2021,11039,108,0,32386,926372,1885130
28/12/2021,11174,108,0,58512,899287,1857086
29/12/2021,11354,109,0,58512,899287,1857086
30/12/2021,11539,109,0,58512,899287,1857086
31/12/2021,11693,109,0,60058,899287,1858632
1/1/2022,11886,110,0,60091,899287,1858665
2/1/2022,12088,110,0,60091,899287,1858665
3/1/2022,12247,110,0,60091,899287,1858665
4/1/2022,12500,110,0,60091,899287,1858665
5/1/2022,12745,110,0,54870,904607,1864084
6/1/2022,13044,110,0,54807,904829,1864465
7/1/2022,13353,112,0,54568,905087,1864742
8/1/2022,13835,113,0,54568,905087,1864742
9/1/2022,14268,114,0,54568,905087,1864742
10/1/2022,14721,115,0,54538,905117,1864772
11/1/2022,15264,115,0,54831,905117,1865065
12/1/2022,15856,115,0,54910,905350,1865610
13/01/2022,16513,116,0,54566,905694,1865954
14/01/2022,17279,116,0,54775,905694,1866163
15/01/2022,18153,116,0,54837,905694,1866225
16/01/2022,19041,116,0,54892,905694,1866280
17/01/2022,19965,116,0,54892,905694,1866280
18/01/2022,20908,118,0,55124,905694,1866512
19/01/2022,21800,118,0,55370,905694,1866758
20/01/2022,22793,119,0,55370,905694,1866758
21/01/2022,23757,120,0,55389,905694,1866777
22/01/2022,24731,121,0,55389,905694,1866777
23/01/2022,25715,124,0,55389,905694,1866777
24/01/2022,26673,126,0,54408,906675,2065032
25/01/2022,27662,130,0,52208,909577,2084915
26/01/2022,28668,135,0,52169,909678,2086398
27/01/2022,29556,137,0,52169,909678,2086398
28/01/2022,30442,140,0,52169,909678,2086398
29/01/2022,31312,143,0,52169,909678,2086398
30/01/2022,32188,146,0,52169,909678,2086398
31/01/2022,33066,148,0,52169,909678,2086398
1/2/2022,33849,148,0,52169,909678,2086398
2/2/2022,34627,148,0,52169,909678,2086398
3/2/2022,34627,151,0,52169,909678,2086398
4/2/2022,36171,153,0,52169,909678,2086398
5/2/2022,36954,157,0,52024,909823,2086543
6/2/2022,37882,161,0,51809,910038,2086758
7/2/2022,38817,165,0,51809,910038,2086758
8/2/2022,39671,168,0,51809,910038,2086758
9/2/2022,40596,151,0,50409,911455,2108882
10/2/2022,41535,155,0,50409,911455,2111984
11/2/2022,42462,157,0,50409,911455,2126984
12/2/2022,43402,161,0,50024,912247,2148825
13/02/2022,44244,167,0,50053,912314,2183868
14/02/2022,45031,178,0,50053,912314,2183868
15/02/2022,45763,183,0,49997,912419,2213243
16/02/2022,46506,188,0,49716,912893,2261452
17/02/2022,47211,196,0,49714,913164,2263847
18/02/2022,47943,204,0,49648,913481,2264994
19/02/2022,48684,213,0,49641,913488,2273928
20/02/2022,49404,220,0,49641,913488,2294615
21/02/2022,50311,223,0,49641,913488,2314825
22/02/2022,51257,226,0,49641,913488,2314825
23/02/2022,52175,230,0,49641,913488,2314825
24/02/2022,53156,238,0,49641,913488,2314828
25/02/2022,54113,245,0,49677,913551,2319374
26/02/2022,55099,250,0,49677,913551,2326901
27/02/2022,50856,253,0,49677,913551,2326901
28/02/2022,51984,263,0,49677,913551,2326901
1/3/2022,53371,268,0,49677,913551,2538101
2/3/2022,54829,273,0,49677,913551,2567002
3/3/2022,56294,277,0,49677,913551,2572014
4/3/2022,57983,282,0,49921,913551,2577270
5/3/2022,59950,289,0,49921,913551,2612270
6/3/2022,61922,295,0,49921,913551,2612270
7/3/2022,63805,299,0,49921,913551,2623070
8/3/2022,65710,303,0,49921,913551,2623070
9/3/2022,67468,307,0,49071,918762,2644719
10/3/2022,69292,310,0,49071,918762,2659975
11/3/2022,71075,310,0,49071,918762,2675605
12/3/2022,72592,311,0,49071,918762,2684320
13/03/2022,73930,316,0,49071,918762,2692210
14/03/2022,75165,317,0,49057,918784,2699893
15/03/2022,76442,319,0,49057,918784,2710215
16/03/2022,77739,322,0,49057,918784,2719954
17/03/2022,78825,323,0,49057,918784,2728168
18/03/2022,79781,325,0,49057,918784,2736379
19/03/2022,80583,327,0,49057,918784,2736379
20/03/2022,81348,327,0,49057,918784,2744605
21/03/2022,82136,328,0,49057,918784,2752750
22/03/2022,82883,328,0,49057,918784,2752750
23/03/2022,83595,328,0,49057,918784,2752750
24/03/2022,84273,328,0,49057,918784,2752750
25/03/2022,84944,330,0,50905,916408,2754287
26/03/2022,85599,334,0,50905,916408,2754287
27/03/2022,86342,334,0,50822,916505,2599875
28/03/2022,87137,334,0,50822,916505,2599875
29/03/2022,87889,334,0,50822,916505,2599875
30/03/2022,88672,335,0,50822,916505,2599875
31/03/2022,89408,335,0,50679,916682,2613036
