,Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
283,11/10/2021,4527,36,518,3239225,2673036,5912261
284,12/10/2021,4531,37,518,3140564,2770071,5910635
285,13/10/2021,4560,37,518,3027362,2887511,5914873
286,14/10/2021,4561,37,518,2856985,3087309,5944294
287,15/10/2021,4562,37,518,2856985,3087309,5944294
288,16/10/2021,4585,37,518,2834875,3133086,5967961
289,17/10/2021,4595,37,518,2782959,3194279,5977238
290,18/10/2021,4601,37,518,2782959,3194279,5977238
291,19/10/2021,4612,37,518,2702000,3287078,5989078
292,20/10/2021,4622,37,518,2671555,3328846,6000401
293,21/10/2021,4631,38,518,2671555,3328846,6000401
294,22/10/2021,4639,38,518,2573106,3438187,6011293
295,23/10/2021,4646,38,518,2509110,3514649,6023759
296,24/10/2021,4660,38,518,2479428,3552885,6032313
297,25/10/2021,4678,38,518,2479428,3552885,6032313
298,26/10/2021,4696,38,518,2419436,3628293,6047729
299,27/10/2021,4722,38,518,2397912,3658875,6056787
300,28/10/2021,4753,38,518,2377925,3691845,6069770
301,29/10/2021,4790,38,518,2377925,3691845,6069770
302,30/10/2021,4846,38,518,2359736,3712754,6072490
303,31/10/2021,4892,38,518,2321937,3752149,6074086
304,1/11/2021,4949,38,518,2321937,3752149,6074086
305,2/11/2021,5005,38,518,2183509,3897825,6081334
306,3/11/2021,5081,38,518,2109355,3975819,6085174
307,4/11/2021,5181,39,518,2018351,4071187,6089538
308,5/11/2021,5272,39,518,2018351,4071187,6089538
309,6/11/2021,5388,39,518,1810540,4288321,6098861
310,7/11/2021,5460,39,518,1792838,4306489,6099327
311,8/11/2021,5571,39,518,1740885,4360468,6101353
312,9/11/2021,5839,40,518,1691436,4414688,6106124
313,10/11/2021,5919,40,518,1596396,4512494,6108890
314,11/11/2021,6073,40,0,1510148,4600750,10711648
315,12/11/2021,6249,40,0,1510148,4600750,10711648
316,13/11/2021,6401,40,0,1192392,4923866,11040124
317,14/11/2021,6489,41,0,1103129,5017323,11137775
318,15/11/2021,6728,41,0,1103129,5017323,11137775
319,16/11/2021,6886,41,0,931785,5192404,11316593
320,17/11/2021,7104,42,0,868657,5260463,11389583
321,18/11/2021,7306,42,0,868657,5260463,11389583
322,19/11/2021,7593,42,0,797993,5340429,11478851
323,20/11/2021,7827,43,0,784709,5355815,11496339
324,21/11/2021,8043,43,0,769266,5372747,11514760
325,22/11/2021,8303,43,0,769266,5372747,11514760
326,23/11/2021,8563,43,0,735901,5411666,11559233
327,24/11/2021,8837,43,0,753411,5430199,11613809
328,25/11/2021,9101,43,0,838533,5449794,11738121
329,26/11/2021,9354,43,0,919793,5472811,11865415
330,27/11/2021,9664,43,0,967189,5513909,11995007
331,28/11/2021,9941,43,0,967189,5513909,11995007
332,29/11/2021,10250,43,0,1003827,5532280,12068387
333,30/11/2021,10619,43,0,1019456,5543051,12105558
334,1/12/2021,11087,44,0,1044021,5554729,12153479
335,2/12/2021,11586,45,0,1056782,5565911,12188604
336,3/12/2021,12377,47,0,1063404,5574910,12213224
337,4/12/2021,12832,47,0,1075324,5584355,12244034
338,5/12/2021,13233,47,0,1107183,5589279,12285741
339,6/12/2021,13820,47,0,1107183,5589279,12285741
340,7/12/2021,14557,47,0,1136483,5590052,12316587
341,8/12/2021,14953,48,0,1160740,5602016,12364772
342,9/12/2021,15775,49,0,1191451,5619321,12430093
343,10/12/2021,16413,50,0,1189585,5629577,12448739
344,11/12/2021,16961,50,0,1189585,5629577,12448739
345,12/12/2021,17941,50,0,1168207,5658641,12485489
346,13/12/2021,18941,51,0,1168207,5658641,12485489
347,14/12/2021,19778,57,0,1152792,5678436,12509664
348,15/12/2021,20802,58,0,1145967,5690734,12527435
349,16/12/2021,21225,60,0,1134204,5704293,12542790
350,17/12/2021,21760,64,0,1134615,5708905,12552425
351,18/12/2021,23004,64,0,1127815,5719562,12566939
352,19/12/2021,24409,67,0,1076102,5773650,12623402
353,20/12/2021,26021,67,0,1001970,5850998,12703966
354,21/12/2021,27725,75,0,954105,5903465,12761035
355,22/12/2021,29373,80,0,843825,6022430,12888685
356,23/12/2021,31147,85,0,843825,6022430,12888685
357,24/12/2021,32981,90,0,820441,6051304,12923049
358,25/12/2021,34860,95,0,770493,6106054,12982601
359,26/12/2021,36778,98,0,770493,6106054,12982601
360,27/12/2021,38726,98,0,745389,6133376,13012141
361,28/12/2021,40646,109,0,631582,6161760,12955102
362,29/12/2021,42412,120,0,586045,6207297,13000639
363,30/12/2021,44278,133,0,534645,6262272,13059189
364,31/12/2021,46192,140,0,543099,6262272,13067643
365,1/1/2022,47940,140,0,553393,6262272,13077937
366,2/1/2022,49985,148,0,556133,6262272,13080677
367,3/1/2022,52085,148,0,561014,6262272,13085558
368,4/1/2022,54586,158,0,561014,6262272,13085558
369,5/1/2022,57092,170,0,392779,6436611,13266001
370,6/1/2022,59811,170,0,365615,6466092,13297799
371,7/1/2022,62536,170,0,359965,6474309,13308583
372,8/1/2022,65327,183,0,365059,6474309,13313677
373,9/1/2022,68138,183,0,368167,6474309,13316785
374,10/1/2022,70970,200,0,344221,6498255,13340731
375,11/1/2022,73854,209,0,347497,6498255,13344007
376,12/1/2022,76820,222,0,346127,6510172,13366471
377,13/01/2022,79789,235,0,339145,6517154,13373453
378,14/01/2022,82818,235,0,341472,6517154,13375780
379,15/01/2022,85630,253,0,348283,6517154,13382591
380,16/01/2022,88613,253,0,357164,6517154,13391472
381,17/01/2022,91573,267,0,357164,6517154,13391472
382,18/01/2022,94514,279,0,359807,6517154,13394115
383,19/01/2022,97424,283,0,364792,6517154,13399100
384,20/01/2022,100310,283,0,364792,6517154,13399100
385,21/01/2022,103115,316,0,367422,6517154,13401730
386,22/01/2022,106060,332,0,367422,6517154,13401730
387,23/01/2022,109031,348,0,373780,6517154,13408088
388,24/01/2022,111838,348,0,292485,6599363,15803228
389,25/01/2022,114795,366,0,290716,6602497,15888440
390,26/01/2022,117679,385,0,288559,6606358,15971076
391,27/01/2022,120587,416,0,286606,6609067,15975838
392,28/01/2022,123478,439,0,284935,6611585,16028294
393,29/01/2022,126284,466,0,284025,6613175,16071638
394,30/01/2022,129208,488,0,283699,6615849,16104395
395,31/01/2022,131936,508,0,283163,6617417,16127168
