,Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
378,14/01/2022,19832,17,0,352791,1436434,3225659
379,15/01/2022,20646,17,0,352791,1436434,3225659
380,16/01/2022,20646,17,0,352791,1436434,3225659
381,17/01/2022,21284,19,0,352791,1436434,3225659
382,18/01/2022,22423,19,0,352791,1436434,3225659
383,19/01/2022,22423,21,0,352791,1436434,3225659
384,20/01/2022,23145,21,0,352791,1436434,3225659
385,21/01/2022,23941,27,0,352791,1436434,3225659
386,22/01/2022,24686,27,0,352791,1436434,3225659
387,23/01/2022,25450,32,0,352791,1436434,3225659
388,24/01/2022,26183,32,0,352791,1436434,3226581
389,25/01/2022,26887,39,0,352791,1436434,3226581
390,26/01/2022,27591,39,0,352791,1436434,3226581
391,27/01/2022,28310,43,0,352791,1436434,3226581
392,28/01/2022,28945,43,0,352791,1436434,3226581
393,29/01/2022,29609,47,0,352791,1436434,3226581
394,30/01/2022,30256,52,0,352791,1436434,3226581
395,31/01/2022,30808,56,0,352791,1436434,3226581
396,1/2/2022,31304,56,0,352791,1436434,3226581
397,2/2/2022,31587,56,0,352791,1436434,3226581
398,3/2/2022,31741,60,0,352791,1436434,3226581
399,4/2/2022,32022,65,0,352791,1436434,3226581
400,5/2/2022,32384,65,0,352791,1436434,3226581
401,6/2/2022,32907,66,0,352791,1436434,3226581
402,7/2/2022,33540,70,0,352791,1436434,3226581
403,8/2/2022,34370,75,0,352791,1436434,3226581
404,9/2/2022,35665,80,0,352791,1436434,3226581
405,10/2/2022,37031,80,0,352791,1436434,3226581
406,11/2/2022,38429,82,0,334974,1462485,3550138
407,12/2/2022,39823,85,0,319574,1485429,3635180
408,13/02/2022,41306,91,0,317038,1488506,3663413
409,14/02/2022,42795,91,0,317038,1488506,3663413
410,15/02/2022,44212,92,0,315700,1491021,3683449
411,16/02/2022,45699,92,0,313779,1494230,3712136
412,17/02/2022,47247,94,0,313492,1495216,3732601
413,18/02/2022,48751,96,0,292966,1549775,4111599
414,19/02/2022,50306,99,0,292714,1550186,4118043
415,20/02/2022,52004,102,0,289642,1553891,4138874
416,21/02/2022,53711,104,0,289535,1554167,4147607
417,22/02/2022,55509,106,0,289460,1554337,4149305
418,23/02/2022,57325,109,0,289446,1554362,4149683
419,24/02/2022,59125,111,0,289207,1554745,4500116
420,25/02/2022,61044,114,0,289008,1555060,4503769
421,26/02/2022,63069,118,0,288908,1555382,4508223
422,27/02/2022,65183,118,0,288924,1555577,4510581
423,28/02/2022,67399,120,0,288907,1555601,4513637
424,1/3/2022,69708,120,0,288791,1555929,4517863
425,2/3/2022,72218,123,0,288558,1556441,4526407
426,3/3/2022,74799,124,0,288459,1556781,4531494
427,4/3/2022,74905,124,0,289064,1557121,4537285
428,5/3/2022,75503,124,0,288974,1557937,4546204
429,6/3/2022,80657,126,0,288974,1557937,4546204
430,7/3/2022,81604,128,0,288964,1557952,4546578
431,8/3/2022,85475,128,0,288964,1557952,4546578
432,9/3/2022,88502,129,0,288088,1559473,4561144
433,10/3/2022,92035,129,0,287992,1559630,4562681
434,11/3/2022,95332,131,0,287870,1559830,4564948
435,12/3/2022,98532,131,0,287574,1560219,4567820
436,13/03/2022,100125,132,0,287574,1560219,4567820
437,14/03/2022,102011,133,0,287574,1560219,4567820
438,15/03/2022,104043,133,0,287574,1560219,4567820
439,16/03/2022,104043,134,0,287574,1560219,4567820
440,17/03/2022,106887,134,0,287574,1560219,4567820
441,18/03/2022,108130,134,0,287574,1560219,4567820
442,19/03/2022,108976,134,0,287574,1560219,4567820
443,20/03/2022,109589,134,0,287574,1560219,4567820
444,21/03/2022,110347,134,0,287574,1560219,4567820
445,22/03/2022,111123,135,0,287574,1560219,4567820
446,23/03/2022,112088,135,0,287574,1560219,4567820
447,24/03/2022,112723,135,0,287574,1560219,4567820
448,25/03/2022,113335,135,0,287574,1560219,4567820
449,26/03/2022,113818,135,0,287574,1560219,4567820
450,27/03/2022,113818,135,0,287574,1560219,4567820
451,28/03/2022,114198,135,0,287574,1560219,4567820
452,29/03/2022,114720,135,0,287574,1560219,4567820
453,30/03/2022,115186,135,0,287574,1560219,4567820
454,31/03/2022,115551,135,0,287574,1560219,4567820
